source,conditionName,sentence,newTagL1,newTagL2,newTagL3,reviewedTag
NHS,Abdominal aortic aneurysm screening,The whole test usually takes about 10 to 15 minutes.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Abdominal aortic aneurysm screening,"There's no risk from the screening test itself, but there's a risk of:",PERMANENT,,,PERMANENT
NHS,Abscess,"This procedure may be carried out as a day case procedure, which means you'll be able to go home the same day, although some people will need to stay in hospital for a few days.",IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,IMPROVE FAST FROM 1 DAY TO 1 WEEK
MAYO,Absence seizure,"During an absence seizure, these electrical signals repeat themselves over and over in a three-second pattern.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Absence seizure,"If you observe prolonged automatic behaviors lasting minutes to hours — activities such as eating or moving without awareness — or prolonged confusion, possible symptoms of a condition called absence status epilepticus",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Absence seizure,"An indication of simple absence seizure is a vacant stare, which may be mistaken for a lapse in attention that lasts about 10 seconds, though it may last as long as 20 seconds, without any confusion, headache or drowsiness afterward.",IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
MAYO,Absence seizure,"Then, there is a quick return to a normal level of alertness.",PERMANENT,,,PERMANENT
NHS,Acanthosis nigricans,"A skin specialist (dermatologist) may be able to suggest treatments to improve their appearance, but finding and treating the cause is usually recommended first",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Achalasia,Achalasia symptoms generally appear gradually and worsen over time.,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Achalasia,"Swallowing tends to get gradually more difficult or painful over a couple of years, to the point where it is sometimes impossible",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Achalasia,"They may cause headaches, but this usually improves over time",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
NHS,Achalasia,"This is usually painless, and can be used for temporary relief in people who are not able to have other treatments",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Achalasia,"To test for achalasia, your doctor is likely to recommend:",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Achalasia,Botox injections typically do not last more than six months.,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
NHS,Achalasia,"It is usually effective for a few months and occasionally for a few years, but it has to be repeated",IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Achalasia,There's no cure for achalasia.,PERMANENT,,,PERMANENT
NHS,Achalasia,Treatments for achalasia,PERMANENT,,,PERMANENT
NHS,Achalasia,"There is no cure for achalasia, but treatment can help relieve the symptoms and make swallowing easier.",PERMANENT,,,PERMANENT
MAYO,Achilles tendon rupture,Most people return to their former level of activity within four to six months.,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR
MAYO,Achilles tendon rupture,It's important to continue strength and stability training after that because some problems can persist for up to a year.,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
NHS,Acid and chemical burns,"If the burn is severe, you may be referred to a specialist burns unit, which may be in a different hospital",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Acid and chemical burns,More severe and deeper burns can take months or even years to fully heal and usually leave some visible scarring,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Acne,Acne most commonly develops on the:,DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Acne,"For many women, acne can persist for decades, with flares common a week before menstruation.",IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,IMPROVE FAST FROM 1 DAY TO 1 WEEK
NHS,Acne,It should be applied 20 minutes after washing to all of the parts of your face affected by acne.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Acne,"You may not see the benefit of this treatment for a few months, so using other acne medications with it the first few weeks may help.",IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
NHS,Acne,"Treatments can take up to 3 months to work, so do not expect results overnight",IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
NHS,Acne,Many of these treatments can take 2 to 3 months before they start to work.,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
MAYO,Acne,"With most prescription acne drugs, you may not see results for four to eight weeks, and your skin may get worse before it gets better.",IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
MAYO,Acne,Stress can make acne worse.,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Acne,It can take many months or years for your acne to clear up completely.,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Acne,Most people have acne on and off for several years before their symptoms start to improve as they get older.,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Acne,"This combined pill can often help improve acne in women, but may take up to a year before the full benefits are seen.",IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Acne,It can take several months of treatment before acne symptoms improve,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH
NHS,Acne,"The risk is estimated to be around 1 in 2,500 in any given year",IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
MAYO,Acoustic neuroma,Acoustic neuroma is often difficult to diagnose in the early stages because signs and symptoms may be subtle and develop gradually over time.,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Acoustic neuroma,Signs and symptoms of acoustic neuroma are often subtle and may take many years to develop.,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Acoustic neuroma,"It may take weeks, months or years before the effects of radiosurgery become evident.",IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
MAYO,Acromegaly,Acromegaly usually develops slowly.,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Acromegaly,"Acromegaly can cause a wide range of symptoms, which tend to develop very slowly over time.",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Acromegaly,"Often, facial features start to return to normal and swelling improves within a few days",IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,IMPROVE FAST FROM 1 DAY TO 1 WEEK
MAYO,Acromegaly,"If you have acromegaly, your GH level will tend to stay high.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Acromegaly,This follow-up care may last for the rest of your life.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Acromegaly,It may take years for this treatment to noticeably improve acromegaly symptoms.,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Acromegaly,Surgery is effective in most people and can completely cure acromegaly,PERMANENT,,,PERMANENT
MAYO,Actinic keratosis,"These patches take years to develop, usually first appearing in people over 40.",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Actinic keratosis,"An actinic keratosis sometimes disappears on its own, but it typically returns after more sun exposure.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Actinic keratosis,It takes only a few minutes and can be done in your doctor's office.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Actinic keratosis,But you may be more likely to develop the condition if you:,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Actinomycosis,"When you're well enough to go home, you'll be given tablets to take for a few months.",IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
NHS,Actinomycosis,your symptoms get worse or don't improve after leaving hospital,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Actinomycosis,"not leaving an IUD in for longer than recommended – they usually last 5 to 10 years, depending on the type you have",IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Acupuncture,"Once the needles are in place, they may be left in position for a length of time lasting from a few minutes up to around 30 minutes",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Acute cholecystitis,"It usually develops as a complication of a serious illness, infection or injury that damages the gallbladder.",DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
NHS,Acute cholecystitis,"These often need to be continued for up to a week, during which time you may need to stay in hospital, or you may be able to go home.",IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,IMPROVE FAST FROM 1 DAY TO 1 WEEK
MAYO,Acute coronary syndrome,"Even when there is no cell death, the decrease in oxygen still results in heart muscles that don't work the way they should.",PERMANENT,,,PERMANENT
MAYO,Acute kidney failure,"In some cases, you may be able to recover at home.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Acute kidney injury,You may need to go to hospital for some treatments.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Acute lymphoblastic leukaemia,The side effects are usually mild and should improve over time,IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
NHS,Acute lymphoblastic leukaemia,The maintenance phase can often last for 2 years.,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Acute lymphoblastic leukaemia,"Depending on how well you respond to treatment, the remission induction phase can last from 2 weeks to several months.",IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH
NHS,Acute lymphoblastic leukaemia,The consolidation phase lasts several months.,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
NHS,Acute lymphoblastic leukaemia,Sometimes a stem cell transplant may also be needed to achieve a cure,PERMANENT,,,PERMANENT
NHS,Acute lymphoblastic leukaemia,"If a cure for acute lymphoblastic leukaemia is not possible, there's a risk that the lack of healthy blood cells can make the person:",PERMANENT,,,PERMANENT
MAYO,Acute lymphocytic leukemia,"Treatment often lasts two to three years, although the first three to six months are the most intense.",IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Acute myeloid leukaemia,It's most common in people over 75,DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
NHS,Acute myeloid leukaemia,The symptoms of AML usually develop over a few weeks and become worse over time.,DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH
NHS,Acute myeloid leukaemia,You may be able to go home between treatment rounds.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Acute myeloid leukaemia,"You'll need to stay in hospital for a few weeks after the transplant, usually in a room on your own, because you'll have a high chance of getting infections.",IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
NHS,Acute myeloid leukaemia,The consolidation phase of treatment lasts several months.,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
NHS,Acute pancreatitis,"People with mild acute pancreatitis usually start to get better within a week and experience either no further problems, or problems that get better within 48 hours.",IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,IMPROVE FAST FROM 1 DAY TO 1 WEEK
NHS,Acute pancreatitis,Most people with acute pancreatitis start to feel better within about a week and have no further problems,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,IMPROVE FAST FROM 1 DAY TO 1 WEEK
NHS,Acute pancreatitis,"If you have mild acute pancreatitis but aren't feeling or being sick and don't have tummy pain, you can usually eat normally.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Acute pancreatitis,Many people are well enough to leave hospital after a few days.,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK
NHS,Acute pancreatitis,Most people with acute pancreatitis get better within a week and are well enough to leave hospital after a few days.,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK
NHS,Acute respiratory distress syndrome,"Most people respond well to treatment, but it may be several weeks or months before you're well enough to leave hospital",IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
NHS,Acute respiratory distress syndrome,The lungs usually recover and long-term lung failure after ARDS is rare.,PERMANENT,,,PERMANENT
MAYO,Acute sinusitis,"However, when the condition fails to respond to treatment or is worsening, tissue samples (cultures) from your nose or sinuses might help find the cause, such as a bacterial infection.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Acute sinusitis,Most cases of acute sinusitis get better on their own.,IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Acute sinusitis,"Unless a bacterial infection develops, most cases resolve within a week to 10 days and home remedies may be all that's needed to treat acute sinusitis.",IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
MAYO,Addison's disease,"Often, the disease progresses so slowly that symptoms are ignored until a stress, such as illness or injury, occurs and makes symptoms worse.",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Addison's disease,"Addison's disease symptoms usually develop slowly, often over several months.",DECLINE,SLOWLY,FROM 2 MONTH TO 6 MONTH,DECLINE SLOWLY FROM 2 MONTH TO 6 MONTH
NHS,Addison's disease,"Over time, these problems may become more severe and you may experience further symptoms, such as dizziness, fainting, cramps and exhaustion.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Adenoidectomy,"The operation is usually done by an ear, nose and throat (ENT) surgeon and takes around 30 minutes",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Adenoidectomy,Most of these symptoms will pass within a few weeks,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
MAYO,Adjustment disorders,"Work problems, going away to school, an illness, death of a close family member or any number of life changes can cause stress.",DECLINE,FAST,FROM 6 MONTH TO 1 YEAR,DECLINE FAST FROM 6 MONTH TO 1 YEAR
MAYO,Adjustment disorders,"Experiencing more stress than would normally be expected in response to a stressful life event and/or having stress that causes significant problems in your relationships, at work or at school",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Adjustment disorders,"You don't have to tough it out on your own, though.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Adjustment disorders,"You experience more stress than would normally be expected in response to a stressful event, and the stress causes significant problems in your life.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Adjustment disorders,You can get treatment to help you cope better with stressful events and feel better about life again.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Adjustment disorders,Symptoms of an adjustment disorder start within three months of a stressful event and last no longer than 6 months after the end of the stressful event.,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
MAYO,Adjustment disorders,Signs and symptoms last six months or less.,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
MAYO,Adjustment disorders,Signs and symptoms last more than six months.,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
MAYO,Adjustment disorders,"Most of the time, people adjust to such changes within a few months.",IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
MAYO,Adjustment disorders,Having emotional or behavioral symptoms within three months of a specific stressor occurring in your life,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
MAYO,Adrenoleukodystrophy,"This form of X-linked ALD usually occurs between ages 4 and 10. The white matter of the brain is progressively damaged (leukodystrophy), and symptoms worsen over time.",DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH
MAYO,Adrenoleukodystrophy,"If not diagnosed early, childhood-onset ALD may lead to death within five to 10 years.",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Adrenoleukodystrophy,Adrenoleukodystrophy has no cure.,PERMANENT,,,PERMANENT
MAYO,Adult Still's disease,The joint discomfort usually lasts at least two weeks.,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
MAYO,Adult attention-deficit hyperactivity disorder (ADHD),"You may feel embarrassed telling your boss or professor that you have ADHD, but most likely he or she will be willing to make small accommodations to help you succeed.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Adult attention-deficit hyperactivity disorder (ADHD),"These treatments can help manage many symptoms of ADHD, but they don't cure it.",PERMANENT,,,PERMANENT
MAYO,Age spots (liver spots),Applying prescription bleaching creams (hydroquinone) alone or with retinoids (tretinoin) and a mild steroid might gradually fade the spots over several months.,DECLINE,SLOWLY,FROM 2 MONTH TO 6 MONTH,DECLINE SLOWLY FROM 2 MONTH TO 6 MONTH
MAYO,Age spots (liver spots),These approaches typically require two to three sessions.,IMPROVE,MODERATELY,FROM 1 YEAR TO MORE YEAR,IMPROVE MODERATELY FROM 1 YEAR TO MORE YEAR
MAYO,Age spots (liver spots),"You'll need a series of procedures over months to get modest, temporary results.",IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
MAYO,Age spots (liver spots),Redness lasts up to several weeks.,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
MAYO,Age spots (liver spots),The length of each procedure and the time it takes to see results varies from weeks to months.,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
MAYO,Age spots (liver spots),It may take several months for pinkness to fade.,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH
NHS,Age-related macular degeneration (AMD),"This can happen gradually over several years (""dry AMD""), or quickly over a few weeks or months (""wet AMD"")",DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH
MAYO,Agoraphobia,"Agoraphobia can begin in childhood, but usually starts in the late teen or early adult years — usually before age 35 — but older adults can also develop it.",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Agoraphobia,"These side effects should improve over time, although some can occasionally persist.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Agoraphobia,"It may take some time, but treatment can help you get better.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Agoraphobia,The fear can be so overwhelming that you may feel unable to leave your home.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Agoraphobia,Some people may have to take SSRIs for 6 to 12 months or more,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
MAYO,Agoraphobia,Your phobia and avoidance usually lasts six months or longer,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
NHS,Agoraphobia,Around a third of people with agoraphobia eventually achieve a complete cure and remain free from symptoms.,PERMANENT,,,PERMANENT
NHS,Air or gas embolism,They can develop within 10 to 20 minutes or sometimes even longer after surfacing,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Airplane ear,"For most people, airplane ear usually heals with time.",PERMANENT,,,PERMANENT
NHS,Albinism,"It's a lifelong condition, but it doesn't get worse over time",PERMANENT,,,PERMANENT
NHS,Albinism,"Although there's no cure for the eye problems caused by albinism, there are a number of treatments, such as glasses and contact lenses, that can improve vision.",PERMANENT,,,PERMANENT
NHS,Albinism,There's currently no cure for nystagmus (where the eyes move from side to side involuntarily),PERMANENT,,,PERMANENT
MAYO,Albinism,"Although there's no cure for albinism, people with the disorder can take steps to protect their skin and eyes and maximize their vision.",PERMANENT,,,PERMANENT
NHS,Alcohol misuse,This usually takes 3 to 7 days from the time of your last drink,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,IMPROVE FAST FROM 1 DAY TO 1 WEEK
NHS,Alcohol misuse,"A course of naltrexone can last up to 6 months, although it may sometimes be longer.",IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
NHS,Alcohol misuse,"If you're prescribed acamprosate, the course usually starts as soon as you begin withdrawal from alcohol and can last for up to 6 months.",IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR
