L1,L2,L3,conditionName,confidence,sentence,source,support CNL1L2L3,support L1L2L3,predictedTag
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Acid and chemical burns,0.0010101010101010099,"If the burn is severe, you may be referred to a specialist burns unit, which may be in a different hospital",NHS,0.00018946570670708602,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Acne,0.014545454545454544,Stress can make acne worse.,MAYO,0.0007578628268283443,0.05210306934444865,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,Acne,0.008264462809917356,It can take several months of treatment before acne symptoms improve,NHS,0.00018946570670708602,0.022925350511557408,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH
DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Acoustic neuroma,0.00706713780918728,Acoustic neuroma is often difficult to diagnose in the early stages because signs and symptoms may be subtle and develop gradually over time.,MAYO,0.00037893141341417203,0.05361879499810535,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,Acoustic neuroma,0.0025062656641604013,"It may take weeks, months or years before the effects of radiosurgery become evident.",MAYO,0.00018946570670708602,0.07559681697612733,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Acromegaly,0.00706713780918728,Acromegaly usually develops slowly.,MAYO,0.00037893141341417203,0.05361879499810535,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Acromegaly,0.003636363636363637,It may take years for this treatment to noticeably improve acromegaly symptoms.,MAYO,0.00018946570670708602,0.05210306934444865,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Actinic keratosis,0.00353356890459364,"These patches take years to develop, usually first appearing in people over 40.",MAYO,0.00018946570670708602,0.05361879499810535,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Actinic keratosis,0.0020202020202020198,It takes only a few minutes and can be done in your doctor's office.,MAYO,0.00037893141341417203,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Actinomycosis,0.007272727272727274,your symptoms get worse or don't improve after leaving hospital,NHS,0.00037893141341417203,0.05210306934444865,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,Actinomycosis,0.0025062656641604013,"When you're well enough to go home, you'll be given tablets to take for a few months.",NHS,0.00018946570670708602,0.07559681697612733,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Acupuncture,0.0010101010101010099,"Once the needles are in place, they may be left in position for a length of time lasting from a few minutes up to around 30 minutes",NHS,0.00018946570670708602,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,Acute Cholecystitis,0.0035211267605633804,"These often need to be continued for up to a week, during which time you may need to stay in hospital, or you may be able to go home.",NHS,0.00018946570670708602,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,Acute bronchitis,0.0015847860538827257,It lasts up to 3 weeks.,NHS,0.00018946570670708602,0.11955286093217128,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,Acute cholecystitis,0.0035211267605633804,"These often need to be continued for up to a week, during which time you may need to stay in hospital, or you may be able to go home.",NHS,0.00018946570670708602,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
PERMANENT,,,Acute coronary syndrome,0.0011235955056179776,"Even when there is no cell death, the decrease in oxygen still results in heart muscles that don't work the way they should.",MAYO,0.00018946570670708602,0.16862447896930655,PERMANENT
DECLINE,FAST,FROM 1 DAY TO 1 WEEK,Acute kidney failure,0.05,"Acute kidney failure — also called acute renal failure or acute kidney injury — develops rapidly, usually in less than a few days",MAYO,0.00018946570670708602,0.003789314134141721,DECLINE FAST FROM 1 DAY TO 1 WEEK
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Acute kidney failure,0.0010101010101010099,"In some cases, you may be able to recover at home.",MAYO,0.00018946570670708602,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Acute kidney injury,0.0010101010101010099,You may need to go to hospital for some treatments.,NHS,0.00018946570670708602,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,Acute lymphoblastic leukaemia,0.008264462809917356,"Depending on how well you respond to treatment, the remission induction phase can last from 2 weeks to several months.",NHS,0.00018946570670708602,0.022925350511557408,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH
IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,Acute lymphoblastic leukaemia,0.006493506493506493,The consolidation phase lasts several months.,NHS,0.00018946570670708602,0.02917771883289125,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Acute lymphocytic leukemia,0.003636363636363637,"Treatment often lasts two to three years, although the first three to six months are the most intense.",MAYO,0.00018946570670708602,0.05210306934444865,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH,Acute myeloid leukaemia,0.03225806451612903,The symptoms of AML usually develop over a few weeks and become worse over time.,NHS,0.00018946570670708602,0.005873436907919668,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH
IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,Acute myeloid leukaemia,0.006493506493506493,The consolidation phase of treatment lasts several months.,NHS,0.00018946570670708602,0.02917771883289125,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK,Acute pancreatitis,0.08695652173913045,Many people are well enough to leave hospital after a few days.,NHS,0.00037893141341417203,0.004357711254262978,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,Acute pancreatitis,0.007042253521126761,"People with mild acute pancreatitis usually start to get better within a week and experience either no further problems, or problems that get better within 48 hours.",NHS,0.00037893141341417203,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,Acute respiratory distress syndrome,0.0025062656641604013,"Most people respond well to treatment, but it may be several weeks or months before you're well enough to leave hospital",NHS,0.00018946570670708602,0.07559681697612733,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
PERMANENT,,,Acute respiratory distress syndrome,0.0011235955056179776,The lungs usually recover and long-term lung failure after ARDS is rare.,NHS,0.00018946570670708602,0.16862447896930655,PERMANENT
IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,Acute sinusitis,0.0015847860538827257,"Unless a bacterial infection develops, most cases resolve within a week to 10 days and home remedies may be all that's needed to treat acute sinusitis.",MAYO,0.00018946570670708602,0.11955286093217128,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
DECLINE,SLOWLY,FROM 2 MONTH TO 6 MONTH,Addison's disease,0.14285714285714285,"Addison's disease symptoms usually develop slowly, often over several months.",MAYO,0.00018946570670708602,0.001326259946949602,DECLINE SLOWLY FROM 2 MONTH TO 6 MONTH
DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Addison's disease,0.00353356890459364,"Often, the disease progresses so slowly that symptoms are ignored until a stress, such as illness or injury, occurs and makes symptoms worse.",MAYO,0.00018946570670708602,0.05361879499810535,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,Adenoidectomy,0.0015847860538827257,Most of these symptoms will pass within a few weeks,NHS,0.00018946570670708602,0.11955286093217128,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Adenoidectomy,0.0010101010101010099,"The operation is usually done by an ear, nose and throat (ENT) surgeon and takes around 30 minutes",NHS,0.00018946570670708602,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,Adjustment disorders,0.012987012987012986,"Most of the time, people adjust to such changes within a few months.",MAYO,0.00037893141341417203,0.02917771883289125,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,Adjustment disorders,0.007518796992481204,Symptoms of an adjustment disorder start within three months of a stressful event and last no longer than 6 months after the end of the stressful event.,MAYO,0.0005683971201212581,0.07559681697612733,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH,Adrenoleukodystrophy,0.03225806451612903,"This form of X-linked ALD usually occurs between ages 4 and 10. The white matter of the brain is progressively damaged (leukodystrophy), and symptoms worsen over time.",MAYO,0.00018946570670708602,0.005873436907919668,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH
DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Adrenoleukodystrophy,0.00353356890459364,"If not diagnosed early, childhood-onset ALD may lead to death within five to 10 years.",MAYO,0.00018946570670708602,0.05361879499810535,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,Adult Still's disease,0.0015847860538827257,The joint discomfort usually lasts at least two weeks.,MAYO,0.00018946570670708602,0.11955286093217128,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
PERMANENT,,,Adult attention-deficit hyperactivity disorder (ADHD),0.0011235955056179776,"These treatments can help manage many symptoms of ADHD, but they don't cure it.",MAYO,0.00018946570670708602,0.16862447896930655,PERMANENT
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Adult attention-deficit hyperactivity disorder (ADHD),0.0010101010101010099,"You may feel embarrassed telling your boss or professor that you have ADHD, but most likely he or she will be willing to make small accommodations to help you succeed.",MAYO,0.00018946570670708602,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
DECLINE,SLOWLY,FROM 2 MONTH TO 6 MONTH,Age spots (liver spots),0.14285714285714285,Applying prescription bleaching creams (hydroquinone) alone or with retinoids (tretinoin) and a mild steroid might gradually fade the spots over several months.,MAYO,0.00018946570670708602,0.001326259946949602,DECLINE SLOWLY FROM 2 MONTH TO 6 MONTH
IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,Age spots (liver spots),0.008264462809917356,It may take several months for pinkness to fade.,MAYO,0.00018946570670708602,0.022925350511557408,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH
DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH,Age-related macular degeneration (AMD),0.03225806451612903,"This can happen gradually over several years (""dry AMD""), or quickly over a few weeks or months (""wet AMD"")",NHS,0.00018946570670708602,0.005873436907919668,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH
IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,Agoraphobia,0.012987012987012986,Some people may have to take SSRIs for 6 to 12 months or more,NHS,0.00037893141341417203,0.02917771883289125,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Agoraphobia,0.00353356890459364,"Agoraphobia can begin in childhood, but usually starts in the late teen or early adult years — usually before age 35 — but older adults can also develop it.",MAYO,0.00018946570670708602,0.05361879499810535,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Air or gas embolism,0.0010101010101010099,They can develop within 10 to 20 minutes or sometimes even longer after surfacing,NHS,0.00018946570670708602,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
PERMANENT,,,Airplane ear,0.0011235955056179776,"For most people, airplane ear usually heals with time.",MAYO,0.00018946570670708602,0.16862447896930655,PERMANENT
PERMANENT,,,Albinism,0.0044943820224719105,"It's a lifelong condition, but it doesn't get worse over time",NHS,0.0007578628268283443,0.16862447896930655,PERMANENT
IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR,Alcohol misuse,0.021739130434782608,"If you're prescribed acamprosate, the course usually starts as soon as you begin withdrawal from alcohol and can last for up to 6 months.",NHS,0.00018946570670708602,0.008715422508525956,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,Alcohol misuse,0.0035211267605633804,This usually takes 3 to 7 days from the time of your last drink,NHS,0.00018946570670708602,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Alcohol poisoning,0.0010101010101010099,The level of alcohol in a person's blood can continue to rise for up to 30 to 40 minutes after their last drink.,NHS,0.00018946570670708602,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,Alcohol use disorder,0.0035211267605633804,Treatment may begin with a program of detoxification or detox — withdrawal that's medically managed — which generally takes two to seven days.,MAYO,0.00018946570670708602,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Alcohol-related liver disease,0.00353356890459364,"Many people die from the condition each year in the UK, and some people only find out they have liver damage when their condition reaches this stage.",NHS,0.00018946570670708602,0.05361879499810535,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,Alcohol-related liver disease,0.0035211267605633804,This usually takes 3 to 7 days from the time of your last drink,NHS,0.00018946570670708602,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Alexander technique,0.003636363636363637,long-term neck pain – lessons in the technique may lead to reduced neck pain and associated disability for up to a year or more,NHS,0.00018946570670708602,0.05210306934444865,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Alexander technique,0.0010101010101010099,"Lessons often take place in a studio, clinic or the teacher's house and usually last 30 to 45 minutes",NHS,0.00018946570670708602,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
DECLINE,FAST,FROM 5 MINUTE TO 1 DAY,Alkaptonuria,0.03448275862068965,"If the condition is diagnosed in childhood, it may be possible to slow its progression by restricting protein in the diet, as this may reduce levels of tyrosine and phenylalanine in your body.",NHS,0.00018946570670708602,0.005494505494505495,DECLINE FAST FROM 5 MINUTE TO 1 DAY
PERMANENT,,,Alkaptonuria,0.0011235955056179776,Alkaptonuria is a lifelong condition – there's currently no specific treatment or cure.,NHS,0.00018946570670708602,0.16862447896930655,PERMANENT
DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Allergic rhinitis,0.00353356890459364,"The symptoms of allergic rhinitis occasionally improve with time, but this can take many years and it's unlikely that the condition will disappear completely.",NHS,0.00018946570670708602,0.05361879499810535,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
PERMANENT,,,Allergic rhinitis,0.0011235955056179776,"These problems can often be treated with medication, although surgery is sometimes needed in severe or long-term cases.",NHS,0.00018946570670708602,0.16862447896930655,PERMANENT
PERMANENT,,,Allergies,0.0022471910112359553,"While most allergies can't be cured, treatments can help relieve your allergy symptoms.",MAYO,0.00037893141341417203,0.16862447896930655,PERMANENT
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,Altitude sickness,0.007042253521126761,It usually takes a few days for your body to get used to a change in altitude.,NHS,0.00037893141341417203,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Altitude sickness,0.0010101010101010099,You should go to hospital as soon as possible for follow-up treatment.,NHS,0.00018946570670708602,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
DECLINE,SLOWLY,FROM 6 MONTH TO 1 YEAR,Alzheimer's disease,0.08333333333333333,"As Alzheimer's disease is a progressive neurological condition, it can cause problems with swallowing.",NHS,0.00018946570670708602,0.0022735884804850324,DECLINE SLOWLY FROM 6 MONTH TO 1 YEAR
DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Alzheimer's disease,0.02120141342756184,Alzheimer's disease is a progressive disorder that causes brain cells to waste away (degenerate) and die.,MAYO,0.0011367942402425162,0.05361879499810535,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR,Amniocentesis,0.021739130434782608,"Amniocentesis is usually carried out between the 15th and 20th weeks of pregnancy, but you can have it later if necessary.",NHS,0.00018946570670708602,0.008715422508525956,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR
PERMANENT,,,Amniocentesis,0.0011235955056179776,"There's no cure for most of the conditions amniocentesis finds, so you'll need to consider your options carefully.",NHS,0.00018946570670708602,0.16862447896930655,PERMANENT
IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,Amputation,0.006493506493506493,"Depending on what's available in your local area, it can be several months before you get your first appointment with a prosthetist.",NHS,0.00018946570670708602,0.02917771883289125,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,Amputation,0.0035211267605633804,The bandage will usually need to be kept in place for a few days to reduce the risk of infection,NHS,0.00018946570670708602,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
PERMANENT,,,Amyloidosis,0.0044943820224719105,"Amyloid isn't normally found in the body, but it can be formed from several different types of protein.",MAYO,0.0007578628268283443,0.16862447896930655,PERMANENT
DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Amyotrophic lateral sclerosis (ALS),0.00353356890459364,"On average, death occurs within three to five years after symptoms begin.",MAYO,0.00018946570670708602,0.05361879499810535,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
PERMANENT,,,Amyotrophic lateral sclerosis (ALS),0.0011235955056179776,There is no cure for this fatal disease.,MAYO,0.00018946570670708602,0.16862447896930655,PERMANENT
DECLINE,MODERATELY,FROM 2 MONTH TO 6 MONTH,Anal cancer,0.0625,"To start with, these appointments will be every few weeks or months, but they'll gradually become less frequent over time.",NHS,0.00018946570670708602,0.0030314513073133762,DECLINE MODERATELY FROM 2 MONTH TO 6 MONTH
PERMANENT,,,Anal cancer,0.0022471910112359553,"Adjusting to life with a colostomy can be challenging, but most people get used to it over time.",NHS,0.00037893141341417203,0.16862447896930655,PERMANENT
IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,Anal fissure,0.01109350237717908,Anal fissures usually heal within a few weeks without the need for treatment.,NHS,0.001326259946949602,0.11955286093217128,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,Anal fissure,0.008264462809917356,"The effects of botulinum toxin injections last for around 2 to 3 months, which should normally allow enough time for the fissure to heal.",NHS,0.00018946570670708602,0.022925350511557408,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,Anal fistula,0.0035211267605633804,"Many people do not need to stay in hospital overnight after surgery, although some may need to stay in hospital for a few days.",NHS,0.00018946570670708602,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
PERMANENT,,,Anal fistula,0.0011235955056179776,Crohn's disease – a long-term condition in which the digestive system becomes inflamed,NHS,0.00018946570670708602,0.16862447896930655,PERMANENT
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,Anal pain,0.007042253521126761,The symptoms often pass after a few days,NHS,0.00037893141341417203,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,Anal pain,0.0015847860538827257,"Anal fissures can be very painful, but many heal on their own in a few weeks.",NHS,0.00018946570670708602,0.11955286093217128,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
PERMANENT,,,Androgen insensitivity syndrome,0.0011235955056179776,"Most people born with the condition are unable to have children, but they'll otherwise be perfectly healthy and able to lead a normal life.",NHS,0.00018946570670708602,0.16862447896930655,PERMANENT
PERMANENT,,,Anemia,0.0011235955056179776,"Anemia can be temporary or long term, and it can range from mild to severe.",MAYO,0.00018946570670708602,0.16862447896930655,PERMANENT
PERMANENT,,,Angelman syndrome,0.0033707865168539327,"While there's currently no cure for Angelman syndrome, research into treatments is being done in other countries",NHS,0.0005683971201212581,0.16862447896930655,PERMANENT
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Angina,0.0030303030303030303,stops within a few minutes of resting,NHS,0.0005683971201212581,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
PERMANENT,,,Angina,0.0011235955056179776,You'll probably need to take several different medicines for the rest of your life.,NHS,0.00018946570670708602,0.16862447896930655,PERMANENT
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,Angioedema,0.0035211267605633804,"The swelling will usually get better by itself in a few days, but there are treatments that can help it settle faster and reduce the risk of it happening again.",NHS,0.00018946570670708602,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
PERMANENT,,,Angioedema,0.0022471910112359553,"It is not normally serious, but it can be a recurring problem for some people and can very occasionally be life-threatening if it affects breathing.",NHS,0.00037893141341417203,0.16862447896930655,PERMANENT
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Angiography,0.0020202020202020198,The test can take between 30 minutes and 2 hours,NHS,0.00037893141341417203,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Angioplasty,0.0010101010101010099,A coronary angioplasty usually takes between 30 minutes and 2 hours,NHS,0.00018946570670708602,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
DECLINE,FAST,FROM 5 MINUTE TO 1 DAY,Anhidrosis,0.03448275862068965,Over most of your body (generalized),MAYO,0.00018946570670708602,0.005494505494505495,DECLINE FAST FROM 5 MINUTE TO 1 DAY
DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Ankylosing spondylitis,0.01060070671378092,"These symptoms tend to develop gradually, usually over several months or years, and may come and go over time.",NHS,0.0005683971201212581,0.05361879499810535,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
PERMANENT,,,Ankylosing spondylitis,0.0033707865168539327,There's no cure for AS and it's not possible to reverse the damage caused by the condition,NHS,0.0005683971201212581,0.16862447896930655,PERMANENT
IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,Anorexia nervosa,0.006493506493506493,"Adolescent-focused psychotherapy will usually involve up to 40 sessions, and normally lasts between 12 and 18 months",NHS,0.00018946570670708602,0.02917771883289125,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
