source,condition,url,fr0,fr1,fr2,fr3,fr4,fr5,fr6,fr7,fr2DET,fr3DET,fr4DET,fr6DET,fr7DET,Sentence,fr0ORI,fr1ORI,fr3ORI,fr4ORI,fr6ORI,fr7ORI,CEsnippet
MAYO,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,Open abdominal surgery.,NONE,,,,,,Open abdominal surgery.
MAYO,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,Repair is generally recommended if your aneurysm is 1.9 to 2.2 inches (4.8 to 5.6 centimeters) or larger or if it's growing quickly,NONE,,,,,,8 to 5
MAYO,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,"Sudden, intense and persistent abdominal or back pain, which can be described as a tearing sensation",NONE,,,,,,"Sudden, intense and persistent abdominal or back pain, which can be described as a tearing sensation"
NHS,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,The graft will usually work well for the rest of your life and you will not usually need regular scans to check it,NONE,,,,,,The graft will usually work well for the rest of your life and you will not usually need regular scans to check it
MAYO,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,These aneurysms occur most often in people age 65 and older,NONE,,,,,,These aneurysms occur most often in people age 65 and older
NHS,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,Treatment for a:,NONE,,,,,,Treatment for a:
MAYO,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,Try to get at least 150 minutes a week of moderate aerobic activity,NONE,,,,,,Try to get at least 150 minutes a week of moderate aerobic activity
MAYO,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,Ultrasound uses sound waves to send images to a computer screen,NONE,,,,,,Ultrasound uses sound waves to send images to a computer screen
NHS,Abdominal aortic aneurysm screening,,IMPROVE,FAST,FROM,5,MINUTE,TO,1,DAY,QUICK,FEW,MINUTES,FEW,MINUTES,Screening for AAA involves a quick and painless ultrasound scan of your tummy.,IMPROVE,IMMEDIATELY,0.0035,DAY,0.0035,DAY,Screening for AAA involves a quick and painless ultrasound scan of your tumm
NHS,Abdominal aortic aneurysm screening,https://www.nhs.uk/conditions/abdominal-aortic-aneurysm-screening/,IMPROVE,FAST,FROM,5,MINUTE,TO,1,DAY,ABOUT,10,MINUTES,15,MINUTES,The whole test usually takes about 10 to 15 minutes.,IMPROVE,FAST,0.007,DAY,0.0104,DAY,usually takes about 10 to 15 minutes.
NHS,Abdominal aortic aneurysm screening,,NONE,,,,,,,,,,,,,Treatment will usually only be needed if it becomes a large AAA.,NONE,,,,,,Treatment will usually only be needed if it becomes a large AAA.
NHS,Abdominal aortic aneurysm screening,,NONE,,,,,,,,,,,,,you lie down on a table and lift up or unbutton your top (you do not need to undress),NONE,,,,,,you lie down on a table and lift up or unbutton your top (you do not need to undress)
NHS,Abdominal aortic aneurysm screening,,NONE,,,,,,,,,,,,,You will not need any treatment at this stage as the chance of the AAA bursting is small.,NONE,,,,,,You will not need any treatment at this stage as the chance of the AAA bursting is small.
NHS,Abdominal aortic aneurysm screening,,NONE,,,,,,,,,,,,,"You will not need to have any treatment or monitoring afterwards, and will not be invited for AAA screening again.",NONE,,,,,,"You will not need to have any treatment or monitoring afterwards, and will not be invited for AAA screening again."
NHS,Abdominal aortic aneurysm screening,,NONE,,,,,,,,,,,,,You'll be invited back for a scan every 3 months to check its size.,NONE,,,,,,You'll be invited back for a scan every 3 months to check its size.
NHS,Abdominal aortic aneurysm screening,,NONE,,,,,,,,,,,,,You'll be invited back for a scan every year to check its size.,NONE,,,,,,You'll be invited back for a scan every year to check its size.
NHS,Abortion,,NONE,,,,,,,,,,,,,"If complications do occur, you may need further treatment, including surgery.",NONE,,,,,,"If complications do occur, you may need further treatment, including surgery."
NHS,Abortion,,NONE,,,,,,,,,,,,,"medical abortion (""abortion pill"") – you take 2 medicines, usually 24 to 48 hours apart, to induce an abortion",NONE,,,,,,"medical abortion (""abortion pill"") – you take 2 medicines, usually 24 to 48 hours apart, to induce an abortion"
NHS,Abscess,,NONE,,,,,,,,,,,,,"Applying heat in the form of a warm compress, such as a warm flannel, may help reduce any swelling and speed up healing",NONE,,,,,,"Applying heat in the form of a warm compress, such as a warm flannel, may help reduce any swelling and speed up healing"
NHS,Abscess,,NONE,,,,,,,,,,,,,encouraging people in your family to wash their hands regularly,NONE,,,,,,encouraging people in your family to wash their hands regularly
NHS,Abscess,,NONE,,,,,,,,,,,,,"Generally, it involves making a larger incision in your skin to allow the pus to be washed out",NONE,,,,,,"Generally, it involves making a larger incision in your skin to allow the pus to be washed out"
NHS,Abscess,,NONE,,,,,,,,,,,,,"However, larger abscesses may need to be treated with antibiotics to clear the infection, and the pus may need to be drained",NONE,,,,,,"However, larger abscesses may need to be treated with antibiotics to clear the infection, and the pus may need to be drained"
NHS,Abscess,,NONE,,,,,,,,,,,,,It may also help to reduce your risk of skin abscesses by:,NONE,,,,,,It may also help to reduce your risk of skin abscesses by:
NHS,Abscess,,NONE,,,,,,,,,,,,,Symptoms of an abscess,NONE,,,,,,Symptoms of an abscess
NHS,Abscess,,NONE,,,,,,,,,,,,,You can reduce the risk of bacteria spreading by:,NONE,,,,,,You can reduce the risk of bacteria spreading by:
MAYO,Absence seizure,,NONE,,,,,,,,,,,,,After any seizure lasting more than five minutes,NONE,,,,,,After any seizure lasting more than five minutes
MAYO,Acanthosis nigricans,,NONE,,,,,,,,,,,,,Being ready to answer them may reserve time to go over any points you want to spend more time on,NONE,,,,,,Being ready to answer them may reserve time to go over any points you want to spend more time on
MAYO,Acanthosis nigricans,,NONE,,,,,,,,,,,,,No specific treatment is available for acanthosis nigricans,NONE,,,,,,No specific treatment is available for acanthosis nigricans
NHS,Acanthosis nigricans,,NONE,,,,,,,,,,,,,There's no specific treatment for the patches,NONE,,,,,,There's no specific treatment for the patches
MAYO,Achalasia,,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,PROGRESSIVE,,YEAR,,YEAR,Achalasia symptoms generally appear gradually and worsen over time,DECLINE,SLOWLY,730.5,DAY,730.5,DAY,Achalasia symptoms generally appear gradually and worsen over time
MAYO,Achalasia,,NONE,,,,,,,,,,,,,A balloon is inserted by endoscopy into the center of the esophageal sphincter and inflated to enlarge the opening,NONE,,,,,,A balloon is inserted by endoscopy into the center of the esophageal sphincter and inflated to enlarge the opening
MAYO,Achalasia,,NONE,,,,,,,,,,,,,"But symptoms can usually be managed with endoscopy, minimally invasive therapy or surgery.",NONE,,,,,,"But symptoms can usually be managed with endoscopy, minimally invasive therapy or surgery."
MAYO,Achalasia,,NONE,,,,,,,,,,,,,"Once the esophagus is paralyzed, the muscle cannot work properly again.",NONE,,,,,,"Once the esophagus is paralyzed, the muscle cannot work properly again."
NHS,Achalasia,,NONE,,,,,,,,,,,,,"This improves swallowing for most people, but you may need treatment several times before your symptoms improve.",NONE,,,,,,"This improves swallowing for most people, but you may need treatment several times before your symptoms improve."
MAYO,Achalasia,,PERMANENT,,,,,,,,,,,,,There's no cure for achalasia.,PERMANENT,,,,,,There's no cure for
MAYO,Achilles tendinitis,,NONE,,,,,,,,,,,,,A physical therapist might suggest some of the following treatment options:,NONE,,,,,,A physical therapist might suggest some of the following treatment options:
MAYO,Achilles tendinitis,,NONE,,,,,,,,,,,,,"If you notice pain during a particular exercise, stop and rest",NONE,,,,,,"If you notice pain during a particular exercise, stop and rest"
MAYO,Achilles tendinitis,,NONE,,,,,,,,,,,,,Take it easy.,NONE,,,,,,Take it easy.
MAYO,Achilles tendinitis,,NONE,,,,,,,,,,,,,"While it may not be possible to prevent Achilles tendinitis, you can take measures to reduce your risk:",NONE,,,,,,"While it may not be possible to prevent Achilles tendinitis, you can take measures to reduce your risk:"
MAYO,Achilles tendon rupture,,NONE,,,,,,,,,,,,,Don't bounce during a stretch,NONE,,,,,,Don't bounce during a stretch
MAYO,Achilles tendon rupture,,NONE,,,,,,,,,,,,,Your doctor might be able to feel a gap in your tendon if it has ruptured completely,NONE,,,,,,Your doctor might be able to feel a gap in your tendon if it has ruptured completely
NHS,Acid and chemical burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/,IMPROVE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,TAKE,,MONTH,,YEAR,More severe and deeper burns can take months or even years to fully heal and usually leave some visible scarring,IMPROVE,SLOWLY,60.88,DAY,730.5,DAY,can take months or even years to fully heal
NHS,Acid and chemical burns,,NONE,,,,,,,,,,,,,"If you've been the victim of an attack and continue to feel upset, anxious or afraid several days after the incident, you can ask to be referred to the hospital's mental health liaison team for support and treatment",NONE,,,,,,"If you've been the victim of an attack and continue to feel upset, anxious or afraid several days after the incident, you can ask to be referred to the hospital's mental health liaison team for support and treatment"
NHS,Acid and chemical burns,,NONE,,,,,,,,,,,,,"Minor burns affecting the outer layer of skin and some of the underlying layer of tissue normally heal with good ongoing burn care, leaving minimal scarring.",,,,,,,"Minor burns affecting the outer layer of skin and some of the underlying layer of tissue normally heal with good ongoing burn care, leaving minimal scarring."
NHS,Acid reflux in babies,,NONE,,,,,,,,,,,,,has diarrhoea that lasts for over a week or has signs of dehydration,NONE,,,,,,has diarrhoea that lasts for over a week or has signs of dehydration
NHS,Acid reflux in babies,,NONE,,,,,,,,,,,,,is not improving after 2 weeks of trying things to ease reflux,NONE,,,,,,is not improving after 2 weeks of trying things to ease reflux
NHS,Acid reflux in babies,,NONE,,,,,,,,,,,,,Treatment for reflux in babies,NONE,,,,,,Treatment for reflux in babies
NHS,Acne,,NONE,,,,,,,,,,,,,"Depending on how well you react to the treatment, a course of oral antibiotics can last 4 to 6 months.",NONE,,,,,,"Depending on how well you react to the treatment, a course of oral antibiotics can last 4 to 6 months."
NHS,Acne,,NONE,,,,,,,,,,,,,Do not wash affected areas of skin more than twice a day,NONE,,,,,,Do not wash affected areas of skin more than twice a day
MAYO,Acne,,NONE,,,,,,,,,,,,,"The earlier you start treatment, the lower your risk of such problems",NONE,,,,,,"The earlier you start treatment, the lower your risk of such problems"
NHS,Acoustic neuroma (vestibular schwannoma),,NONE,,,,,,,,,,,,,Any symptoms tend to develop gradually and often include:,,,,,,,Any symptoms tend to develop gradually and often include:
MAYO,Acromegaly,,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,DEVELOPS SLOWLY,,YEAR,,YEAR,Acromegaly usually develops slowly.,DECLINE,SLOWLY,1095.75,DAY,1095.75,DAY,Acromegaly usually develops slowly
NHS,Actinic keratoses (solar keratoses),,NONE,,,,,,,,,,,,,are usually between 1cm to 2cm in size,,,,,,,are usually between 1cm to 2cm in size
MAYO,Actinic keratosis,,NONE,,,,,,,,,,,,,Apply sunscreen 15 minutes before sun exposure and reapply it every two hours — or more often if you're swimming or perspiring.,,,,,,,Apply sunscreen 15 minutes before sun exposure and reapply it every two hours — or more often if you're swimming or perspiring.
MAYO,Actinic keratosis,,NONE,,,,,,,,,,,,,But you may be more likely to develop the condition if you:,NONE,,,,,,But you may be more likely to develop the condition if you:
NHS,Actinomycosis,,NONE,,,,,,,,,,,,,Treatment for actinomycosis,NONE,,,,,,Treatment for actinomycosis
NHS,Acute bronchitis,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,UP TO,3,WEEK,3,WEEK,It lasts up to 3 weeks.,IMPROVE,FAST,21,DAY,21,DAY,It lasts up to 3 weeks.
NHS,Acute Cholecystitis,https://www.nhs.uk/conditions/acute-cholecystitis/,IMPROVE,FAST,FROM,1,DAY,TO,1,WEEK,UP TO,1,WEEK,1,WEEK,"These often need to be continued for up to a week, during which time you may need to stay in hospital, or you may be able to go home.",IMPROVE,FAST,7,DAY,7,DAY,These often need to be continued for up to a week
NHS,Acute cholecystitis,,NONE,,,,,,,,,,,,,"Calculous cholecystitis is the most common, and usually less serious, type of acute cholecystitis",NONE,,,,,,"Calculous cholecystitis is the most common, and usually less serious, type of acute cholecystitis"
MAYO,Acute coronary syndrome,,NONE,,,,,,,,,,,,,Do not drive yourself to the hospital,NONE,,,,,,Do not drive yourself to the hospital
MAYO,Acute kidney failure,,DECLINE,FAST,FROM,1,DAY,TO,1,WEEK,LESS THAN,FEW,DAY,FEW,DAY,"Acute kidney failure — also called acute renal failure or acute kidney injury — develops rapidly, usually in less than a few days",DECLINE,FAST,3,DAY,3,DAY,"Acute kidney failure — also called acute renal failure or acute kidney injury — develops rapidly, usually in less than a few days"
MAYO,Acute kidney failure,,NONE,,,,,,,,,,,,,"Acute kidney failure is most common in people who are already hospitalized, particularly in critically ill people who need intensive care",NONE,,,,,,"Acute kidney failure is most common in people who are already hospitalized, particularly in critically ill people who need intensive care"
MAYO,Acute kidney failure,,NONE,,,,,,,,,,,,,"As your kidneys recover, you may no longer need to eat a special diet, although healthy eating remains important.",,,,,,,"As your kidneys recover, you may no longer need to eat a special diet, although healthy eating remains important."
NHS,Acute kidney injury,,NONE,,,,,,,,,,,,,Symptoms of acute kidney injury,NONE,,,,,,Symptoms of acute kidney injury
NHS,Acute lymphoblastic leukaemia,,NONE,,,,,,,,,,,,,"Acute lymphoblastic leukaemia is rare, with around 790 people diagnosed with the condition each year in the UK",NONE,,,,,,"Acute lymphoblastic leukaemia is rare, with around 790 people diagnosed with the condition each year in the UK"
MAYO,Acute lymphocytic leukemia,,NONE,,,,,,,,,,,,,A certain abnormality called the Philadelphia chromosome is found in some people with acute lymphocytic leukemia,NONE,,,,,,A certain abnormality called the Philadelphia chromosome is found in some people with acute lymphocytic leukemia
MAYO,Acute lymphocytic leukemia,,NONE,,,,,,,,,,,,,And adults may be able to continue working.,,,,,,,And adults may be able to continue working.
MAYO,Acute lymphocytic leukemia,,NONE,,,,,,,,,,,,,"During a lumbar puncture (spinal tap) procedure, you typically lie on your side with your knees drawn up to your chest",NONE,,,,,,"During a lumbar puncture (spinal tap) procedure, you typically lie on your side with your knees drawn up to your chest"
MAYO,Acute lymphocytic leukemia,,NONE,,,,,,,,,,,,,"In a bone marrow aspiration, a doctor or nurse uses a thin needle to remove a small amount of liquid bone marrow, usually from a spot in the back of your hipbone (pelvis)",NONE,,,,,,"In a bone marrow aspiration, a doctor or nurse uses a thin needle to remove a small amount of liquid bone marrow, usually from a spot in the back of your hipbone (pelvis)"
NHS,Acute myeloid leukaemia,,NONE,,,,,,,,,,,,,But there's no guarantee that the techniques being studied in the clinical trial will work better than current treatments.,,,,,,,But there's no guarantee that the techniques being studied in the clinical trial will work better than current treatments.
NHS,Acute myeloid leukaemia,,NONE,,,,,,,,,,,,,It's most common in people over 75,,,,,,,It's most common in people over 75
NHS,Acute myeloid leukaemia,,NONE,,,,,,,,,,,,,"It's not clear exactly what causes AML and, in most cases, there's no identifiable cause.",,,,,,,"It's not clear exactly what causes AML and, in most cases, there's no identifiable cause."
NHS,Acute myeloid leukaemia,,NONE,,,,,,,,,,,,,radiologist (specialist in X-rays and scans),NONE,,,,,,radiologist (specialist in X-rays and scans)
NHS,Acute pancreatitis,,NONE,,,,,,,,,,,,,But sometimes the cause is not known.,NONE,,,,,,But sometimes the cause is not known.
NHS,Acute pancreatitis,,NONE,,,,,,,,,,,,,"Ideally, the gallbladder should be removed within 2 weeks of your attack of pancreatitis unless you are too unwell for surgery.",NONE,,,,,,"Ideally, the gallbladder should be removed within 2 weeks of your attack of pancreatitis unless you are too unwell for surgery."
NHS,Acute pancreatitis,,NONE,,,,,,,,,,,,,When to get medical help,NONE,,,,,,When to get medical help
NHS,Acute respiratory distress syndrome,,NONE,,,,,,,,,,,,,There's no specific test to diagnose ARDS,NONE,,,,,,There's no specific test to diagnose ARDS
MAYO,Acute sinusitis,,NONE,,,,,,,,,,,,,Take these steps to help reduce your risk of getting acute sinusitis:,NONE,,,,,,Take these steps to help reduce your risk of getting acute sinusitis:
MAYO,Addison's disease,,DECLINE,SLOWLY,FROM,6,MONTH,TO,1,YEAR,DEVELOPS SLOWLY,SEVERAL,MONTH,SEVERAL,MONTH,"Addison's disease symptoms usually develop slowly, often over several months.",DECLINE,MODERATELY,121.75,DAY,121.75,DAY,"Addison's disease symptoms usually develop slowly, often over several months"
MAYO,Addison's disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,PROGRESSES SLOWY,,YEAR,,YEAR,"Often, the disease progresses so slowly that symptoms are ignored until a stress, such as illness or injury, occurs and makes symptoms worse.",DECLINE,SLOWLY,730.5,DAY,730.5,DAY,progresses so slowly
NHS,Addison's disease,,NONE,,,,,,,,,,,,,take your medication every day at the right time,NONE,,,,,,take your medication every day at the right time
NHS,Adenoidectomy,,NONE,,,,,,,,,,,,,This is to reduce their risk of getting an infection,NONE,,,,,,This is to reduce their risk of getting an infection
MAYO,Adjustment disorders,,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,LAST,6,MONTH,6,MONTH,Signs and symptoms last six months or less.,IMPROVE,MODERATELY,182.63,DAY,182.63,DAY,Signs and symptoms last six months or less
MAYO,Adjustment disorders,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,WITHIN,6,MONTH,6,MONTH,Symptoms of an adjustment disorder start within three months of a stressful event and last no longer than 6 months after the end of the stressful event.,IMPROVE,MODERATELY,182.63,DAY,182.63,DAY,last no longer than 6 months
MAYO,Adjustment disorders,,NONE,,,,,,,,,,,,,Be ready to answer them to reserve time to go over any points you want to focus on,NONE,,,,,,Be ready to answer them to reserve time to go over any points you want to focus on
MAYO,Adnexal tumors,,NONE,,,,,,,,,,,,,Treatment for adnexal tumors depends on the specific location and types of cells involved,NONE,,,,,,Treatment for adnexal tumors depends on the specific location and types of cells involved
MAYO,Adrenoleukodystrophy,,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,WITHIN,5,YEAR,10,YEAR,"If not diagnosed early, childhood-onset ALD may lead to death within five to 10 years.",DECLINE,SLOWLY,1826.25,DAY,3652.5,DAY,"If not diagnosed early, childhood-onset ALD may lead to death within five to 10 years"
MAYO,Adrenoleukodystrophy,,NONE,,,,,,,,,,,,,This form of X-linked ALD usually occurs between ages 4 and 10,NONE,,,,,,This form of X-linked ALD usually occurs between ages 4 and 10
MAYO,Adult attention-deficit hyperactivity disorder (ADHD),,NONE,,,,,,,,,,,,,So can classes to improve communication and develop conflict resolution and problem-solving skills.,,,,,,,So can classes to improve communication and develop conflict resolution and problem-solving skills.
MAYO,Adult attention-deficithyperactivity disorder (ADHD),,NONE,,,,,,,,,,,,,Treatment for adult ADHD is similar to treatment for childhood ADHD,NONE,,,,,,Treatment for adult ADHD is similar to treatment for childhood ADHD
MAYO,Age spots (liver spots),,NONE,,,,,,,,,,,,,Are usually tan to dark brown,,,,,,,Are usually tan to dark brown
MAYO,Age spots (liver spots),,NONE,,,,,,,,,,,,,"True age spots don't need treatment, but they are a sign the skin has received a lot of sun exposure and are an attempt by your skin to protect itself from more sun damage.",NONE,,,,,,True age spots don't need treatment
MAYO,Agoraphobia,,IMPROVE,SLOWLY,FROM,6,MONTH,TO,1,YEAR,LASTS,6,MONTH,MORE,MONTH,Your phobia and avoidance usually lasts six months or longer,IMPROVE,SLOWLY,182.63,DAY,273.94,DAY,Your phobia and avoidance usually lasts six months or longer
MAYO,Agoraphobia,,NONE,,,,,,,,,,,,,"Agoraphobia (ag-uh-ruh-FOE-be-uh) is a type of anxiety disorder in which you fear and avoid places or situations that might cause you to panic and make you feel trapped, helpless or embarrassed",NONE,,,,,,"Agoraphobia (ag-uh-ruh-FOE-be-uh) is a type of anxiety disorder in which you fear and avoid places or situations that might cause you to panic and make you feel trapped, helpless or embarrassed"
NHS,Agoraphobia,,NONE,,,,,,,,,,,,,Around a third of people with agoraphobia eventually achieve a complete cure and remain free from symptoms.,,,,,,,Around a third of people with agoraphobia eventually achieve a complete cure and remain free from symptoms.
MAYO,Airplane ear,,NONE,,,,,,,,,,,,,The middle ear is separated from your external ear by the eardrum and connected to the back of your nose and throat by a narrow passageway called the eustachian tube,NONE,,,,,,The middle ear is separated from your external ear by the eardrum and connected to the back of your nose and throat by a narrow passageway called the eustachian tube
NHS,Albinism,,PERMANENT,,,,,,,,,,,,,"It's a lifelong condition, but it doesn't get worse over time",PERMANENT,,,,,,"It's a lifelong condition, but it doesn't get worse over time"
NHS,Alcohol misuse,,NONE,,,,,,,,,,,,,5 units a day (for men) or more than 5 units a day (for women),NONE,,,,,,5 units a day (for men) or more than 5 units a day (for women)
NHS,Alcohol misuse,,NONE,,,,,,,,,,,,,Detox and withdrawal symptoms,,,,,,,Detox and withdrawal symptoms
NHS,Alcohol misuse,,NONE,,,,,,,,,,,,,what time you had them,NONE,,,,,,what time you had them
MAYO,Alcohol poisoning,,NONE,,,,,,,,,,,,,An alcohol binge can occur over hours or last up to several days,,,,,,,An alcohol binge can occur over hours or last up to several days
MAYO,Alcohol poisoning,,NONE,,,,,,,,,,,,,Here's what doesn't work:,NONE,,,,,,Here's what doesn't work:
MAYO,Alcohol use disorder,,NONE,,,,,,,,,,,,,"Although similar medication can be taken in pill form, the injectable version of the drug may be easier for people recovering from alcohol use disorder to use consistently",NONE,,,,,,"Although similar medication can be taken in pill form, the injectable version of the drug may be easier for people recovering from alcohol use disorder to use consistently"
MAYO,Alcohol use disorder,,NONE,,,,,,,,,,,,,Giving up or reducing social and work activities and hobbies,,,,,,,Giving up or reducing social and work activities and hobbies
MAYO,Alcohol use disorder,,NONE,,,,,,,,,,,,,It can occur within several hours to four or five days later,,,,,,,It can occur within several hours to four or five days later
NHS,Alcohol-related liver disease,,NONE,,,,,,,,,,,,,"The main treatment is to stop drinking, preferably for the rest of your life",NONE,,,,,,"The main treatment is to stop drinking, preferably for the rest of your life"
NHS,Alcohol-related liver disease,,NONE,,,,,,,,,,,,,you commit to not drinking alcohol for the rest of your life,NONE,,,,,,you commit to not drinking alcohol for the rest of your life
MAYO,Alcoholic hepatitis,,NONE,,,,,,,,,,,,,Fluid that accumulates in the abdomen might become infected and require treatment with antibiotics,NONE,,,,,,Fluid that accumulates in the abdomen might become infected and require treatment with antibiotics
MAYO,Alcoholic hepatitis,,NONE,,,,,,,,,,,,,Treatment might include:,NONE,,,,,,Treatment might include:
NHS,Alkaptonuria,,NONE,,,,,,,,,,,,,Signs and symptoms in adults,,,,,,,Signs and symptoms in adults
NHS,Alkaptonuria,https://www.nhs.uk/conditions/alkaptonuria/,PERMANENT,,,,,,,,,,,,,Alkaptonuria is a lifelong condition – there's currently no specific treatment or cure.,PERMANENT,,,,,,there's currently no specific treatment or cure.
NHS,Allergic rhinitis,,NONE,,,,,,,,,,,,,Most people with allergic rhinitis have mild symptoms that can be easily and effectively treated.,,,,,,,Most people with allergic rhinitis have mild symptoms that can be easily and effectively treated.
NHS,Allergic rhinitis,,NONE,,,,,,,,,,,,,"They take longer to work than antihistamines, but their effects last longer",NONE,,,,,,"They take longer to work than antihistamines, but their effects last longer"
NHS,Allergic rhinitis,,NONE,,,,,,,,,,,,,Visit your GP if your symptoms do not respond to medication after 2 weeks.,NONE,,,,,,Visit your GP if your symptoms do not respond to medication after 2 weeks.
NHS,Allergies,,NONE,,,,,,,,,,,,,"Do not use them for more than a week at a time, as using them for long periods can make your symptoms worse.",NONE,,,,,,"Do not use them for more than a week at a time, as using them for long periods can make your symptoms worse."
MAYO,Alpha-gal syndrome,,NONE,,,,,,,,,,,,,"""It sticks out its legs, and that allows it to grab on to hosts as they walk by",NONE,,,,,,"""It sticks out its legs, and that allows it to grab on to hosts as they walk by"
MAYO,Alpha-gal syndrome,,NONE,,,,,,,,,,,,,Clear brush and leaves where ticks live.,,,,,,,Clear brush and leaves where ticks live.
MAYO,Alpha-gal syndrome,,NONE,,,,,,,,,,,,,Drooling and inability to swallow,,,,,,,Drooling and inability to swallow
MAYO,Alpha-gal syndrome,,NONE,,,,,,,,,,,,,They get themselves in a position,NONE,,,,,,"""They get themselves in a position"
NHS,Altitude sickness,,IMPROVE,FAST,FROM,1,DAY,TO,1,WEEK,AFTER,2,DAY,3,DAY,"After 2 to 3 days, your body should have adjusted to the altitude and your symptoms should disappear.",IMPROVE,FAST,2,DAY,3,DAY,After 2 to 3 days
NHS,Altitude sickness,,NONE,,,,,,,,,,,,,do not go any higher for at least 24 to 48 hours,NONE,,,,,,do not go any higher for at least 24 to 48 hours
NHS,Alzheimer's disease,https://www.nhs.uk/conditions/alzheimers-disease/,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,DEVELOP GRADUALLY,MANY,YEAR,MANY,YEAR,"Alzheimer's disease is a progressive condition, which means the symptoms develop gradually over many years and eventually become more severe.",DECLINE,SLOWLY,730.5,DAY,730.5,DAY,develop gradually over many years
